,,Crime,PP,PP/Crime
on,law,3,1,0.333333333
on,this,3,1,0.333333333
other,cities,3,1,0.333333333
out,in,3,1,0.333333333
people,to,3,1,0.333333333
research,shows,3,1,0.333333333
residents,and,3,1,0.333333333
returned,to,3,1,0.333333333
said,about,3,1,0.333333333
said,that,3,1,0.333333333
says,he,3,1,0.333333333
scene,in,3,1,0.333333333
service,to,3,1,0.333333333
should,have,3,1,0.333333333
take,a,3,1,0.333333333
than,million,3,1,0.333333333
that,as,3,1,0.333333333
that,crime,6,2,0.333333333
that,includes,3,1,0.333333333
that,this,3,1,0.333333333
the,cost,3,1,0.333333333
the,government,3,1,0.333333333
the,great,3,1,0.333333333
the,other,3,1,0.333333333
the,three,9,3,0.333333333
the,world,9,3,0.333333333
their,native,3,1,0.333333333
they,will,3,1,0.333333333
to,maintain,3,1,0.333333333
to,tell,3,1,0.333333333
violence,and,3,1,0.333333333
were,a,3,1,0.333333333
whether,to,3,1,0.333333333
which,was,3,1,0.333333333
with,crime,3,1,0.333333333
with,new,3,1,0.333333333
working,to,3,1,0.333333333
year,in,3,1,0.333333333
years,to,3,1,0.333333333
will,be,34,11,0.323529412
violent,crime,16,5,0.3125
at,a,10,3,0.3
crime,rates,10,3,0.3
crime,in,17,5,0.294117647
can,t,7,2,0.285714286
continue,to,7,2,0.285714286
on,their,7,2,0.285714286
while,the,7,2,0.285714286
likely,to,11,3,0.272727273
a,month,4,1,0.25
a,similar,4,1,0.25
and,those,4,1,0.25
are,in,4,1,0.25
before,they,4,1,0.25
department,the,4,1,0.25
down,on,4,1,0.25
encouraged,to,4,1,0.25
forced,to,4,1,0.25
from,to,8,2,0.25
having,a,4,1,0.25
high,school,4,1,0.25
justice,for,4,1,0.25
of,california,8,2,0.25
of,greater,4,1,0.25
of,our,4,1,0.25
or,the,4,1,0.25
people,in,4,1,0.25
per,year,4,1,0.25
reported,in,4,1,0.25
responsible,for,4,1,0.25
s,crime,4,1,0.25
s,no,4,1,0.25
search,warrants,4,1,0.25
show,the,4,1,0.25
the,least,4,1,0.25
the,past,4,1,0.25
the,project,4,1,0.25
the,study,8,2,0.25
the,th,4,1,0.25
there,s,4,1,0.25
time,of,4,1,0.25
to,two,4,1,0.25
today,s,4,1,0.25
when,a,4,1,0.25
who,were,4,1,0.25
years,and,4,1,0.25
city,and,9,2,0.222222222
division,of,9,2,0.222222222
had,a,9,2,0.222222222
want,to,9,2,0.222222222
in,new,14,3,0.214285714
a,man,5,1,0.2
according,to,40,8,0.2
appeared,in,5,1,0.2
august,language,5,1,0.2
being,a,5,1,0.2
crimes,in,5,1,0.2
date,august,5,1,0.2
few,people,5,1,0.2
for,years,5,1,0.2
however,the,5,1,0.2
in,court,5,1,0.2
just,a,5,1,0.2
life,in,5,1,0.2
look,at,5,1,0.2
on,friday,5,1,0.2
people,who,5,1,0.2
programs,that,5,1,0.2
result,of,5,1,0.2
suspicion,of,5,1,0.2
that,will,5,1,0.2
the,mayor,10,2,0.2
to,an,5,1,0.2
to,our,5,1,0.2
was,the,10,2,0.2
we,ve,5,1,0.2
without,the,5,1,0.2
years,ago,5,1,0.2
it,was,16,3,0.1875
up,to,11,2,0.181818182
a,lot,12,2,0.166666667
angeles,times,6,1,0.166666667
as,part,6,1,0.166666667
during,a,6,1,0.166666667
federal,officials,6,1,0.166666667
health,care,6,1,0.166666667
information,on,6,1,0.166666667
is,likely,6,1,0.166666667
live,in,6,1,0.166666667
of,us,6,1,0.166666667
off,the,6,1,0.166666667
p,c,6,1,0.166666667
police,officer,6,1,0.166666667
responded,to,6,1,0.166666667
that,would,6,1,0.166666667
the,court,6,1,0.166666667
the,largest,6,1,0.166666667
there,will,6,1,0.166666667
to,spend,6,1,0.166666667
who,had,6,1,0.166666667
years,in,6,1,0.166666667
york,and,6,1,0.166666667
public,safety,13,2,0.153846154
was,a,13,2,0.153846154
county,sheriff,20,3,0.15
a,percent,7,1,0.142857143
along,with,7,1,0.142857143
had,been,14,2,0.142857143
he,is,7,1,0.142857143
to,his,7,1,0.142857143
to,see,14,2,0.142857143
a,year,15,2,0.133333333
lower,crime,8,1,0.125
the,county,8,1,0.125
this,year,8,1,0.125
thousands,of,8,1,0.125
a,division,9,1,0.111111111
city,s,9,1,0.111111111
lot,of,9,1,0.111111111
offered,by,9,1,0.111111111
was,found,9,1,0.111111111
more,information,10,1,0.1
the,city,30,3,0.1
the,streets,10,1,0.1
it,s,32,3,0.09375
a,crime,11,1,0.090909091
and,regional,11,1,0.090909091
copyright,c,11,1,0.090909091
services,for,11,1,0.090909091
the,us,11,1,0.090909091
for,more,12,1,0.083333333
in,his,12,1,0.083333333
more,of,12,1,0.083333333
out,of,12,1,0.083333333
english,publication,25,2,0.08
copyright,the,13,1,0.076923077
date,september,14,1,0.071428571
news,pg,14,1,0.071428571
september,language,14,1,0.071428571
and,was,15,1,0.066666667
a,length,16,1,0.0625
daily,news,16,1,0.0625
he,was,32,2,0.0625
the,investigation,17,1,0.058823529
sheriff,s,52,3,0.057692308
the,daily,18,1,0.055555556
don,t,20,1,0.05
and,los,23,1,0.043478261
length,words,79,3,0.037974684
newspaper,copyright,53,2,0.037735849
the,los,53,2,0.037735849
angeles,police,28,1,0.035714286
documents,the,28,1,0.035714286
section,news,31,1,0.032258065
type,newspaper,77,2,0.025974026
http,www,431,11,0.025522042
language,english,79,2,0.025316456
publication,type,79,2,0.025316456
reserved,of,63,1,0.015873016
of,documents,500,3,0.006
load,date,500,2,0.004
los,angeles,1627,4,0.002458513
documents,copyright,421,1,0.002375297
inc,all,451,1,0.002217295
all,rights,487,1,0.002053388
rights,reserved,487,1,0.002053388
