of documents 1 of 1
of law custom 1 1
of law enforcement 82 13
of law in 4 1
of legitimacy to 1 1
of less than 1 1
of lethal force 2 1
of life in 6 1
of local government 1 2
of local law 3 1
of local police 15 7
of local political 1 3
of meeting the 1 1
of members of 9 1
of mental health 2 1
of mohler s 1 2
of more than 13 1
of motor vehicle 1 1
of municipal police 1 1
of new technologies 3 2
of new york 80 2
of nonlethal force 1 1
of occupational and 1 1
of officers and 6 2
of officers in 6 1
of officers to 3 5
of officers who 5 1
of one or 1 1
of one s 5 2
of or more 1 1
of organizational change 3 1
of organizational culture 1 1
of organizational reform 3 1
of other institutions 1 1
of other strategies 1 1
of people who 11 1
of percent of 1 1
of police a 2 1
of police and 16 5
of police as 4 3
of police authority 2 1
of police behavior 3 4
of police culture 4 4
of police departments 24 3
of police discretion 6 1
of police force 3 1
of police governance 3 3
of police in 4 8
of police interventions 1 2
of police leadership 1 1
of police officers 28 2
of police on 2 1
of police organizations 1 17
of police practice 1 2
of police practices 4 1
of police presence 1 1
of police professionalism 3 1
of police public 1 1
of police reform 20 2
of police resources 5 1
of police service 1 3
of police strategies 2 8
of police to 2 1
of police use 3 1
of police work 4 6
of policing and 9 2
of policing from 2 1
of policing in 8 5
of policing is 6 2
of policing s 1 1
of policing was 1 1
of policy and 2 4
of political and 2 7
of political science 1 1
of predictive analytics 7 1
of predictive policing 63 9
of private policing 1 2
of progressive police 1 1
of public choice 1 1
of public places 4 1
of public safety 18 1
of race or 4 1
of racial minorities 2 1
of racial profiling 15 1
of racism and 1 1
of reported crime 1 4
of representative democracy 1 1
of research and 1 1
of research on 6 1
of santa cruz 2 1
of scale and 1 1
of scientific knowledge 1 3
of scientific research 1 1
of sensitive information 2 1
of several reasons 1 1
of silence police 1 1
of sir robert 1 1
of social control 4 1
of state and 6 5
of street level 1 1
of studies have 1 2
of studies of 2 2
of such a 9 1
of surveillance database 1 1
of suspects and 2 1
of technologies to 1 1
of technology and 3 1
of the american 13 13
of the available 3 1
of the basic 3 1
of the benefits 6 1
of the best 3 3
of the challenges 3 1
of the citizen 5 2
of the city 43 5
of the community 13 5
of the courts 2 1
of the crime 28 5
of the criminal 21 1
of the critical 1 1
of the culture 3 1
of the current 11 1
of the data 44 1
of the day 6 3
of the degree 2 2
of the department 22 5
of the dynamics 1 2
of the effects 4 1
of the entire 4 4
of the evidence 9 1
of the exclusionary 4 1
of the federal 15 1
of the fifth 6 1
of the first 8 3
of the garner 2 1
of the government 19 1
of the group 5 1
of the hierarchy 2 1
of the highest 3 4
of the implementation 2 1
of the in 2 1
of the individual 10 1
of the investigation 3 1
of the job 4 1
of the jurisdiction 1 2
of the kansas 1 1
of the last 8 1
of the late 3 1
of the latest 3 1
of the literature 2 1
of the local 2 1
of the los 8 2
of the many 3 1
of the military 8 1
of the misconduct 1 1
of the more 5 1
of the most 46 6
of the nation 11 7
of the national 17 1
of the new 22 5
of the now 1 1
of the offender 2 1
of the officer 2 3
of the old 2 1
of the organization 7 10
of the organizational 2 2
of the panel 1 1
of the patrol 1 1
of the people 22 1
of the police 84 27
of the policing 5 1
of the policy 18 1
of the political 4 1
of the precinct 2 1
of the principal 1 1
of the process 12 2
of the processes 1 1
of the program 11 4
of the public 24 1
of the rank 20 2
of the reform 6 2
of the reformers 1 1
of the relationship 4 1
of the research 1 3
of the s 18 4
of the scholarship 2 1
of the search 7 1
of the september 4 1
of the sergeant 1 1
of the situation 4 1
of the specific 2 1
of the standard 3 2
of the technology 7 4
of the three 3 1
of the top 4 1
of the twentieth 7 7
of the twenty 6 4
of the two 7 1
of the value 1 1
of the vast 2 1
of the week 3 2
of the world 7 1
of the worst 2 1
of the year 6 3
of their communities 2 2
of their department 1 1
of their shared 1 1
of them the 1 1
of these devices 2 1
of these new 4 1
of these reforms 2 1
of these studies 1 2
of these technologies 6 1
of this approach 1 1
of this essay 7 1
of this information 6 1
of this research 2 4
of this sort 4 2
of those who 14 1
of thousands of 15 1
of three cities 4 1
of transparency in 5 1
of use in 1 1
of ways to 1 1
of what the 5 2
of what we 3 2
of where the 2 1
of whether police 1 1
of which have 5 2
of which might 1 1
of which the 1 1
of which were 5 1
of who would 1 1
of willie sutton 1 1
office of community 4 1
office of the 20 1
officer decision making 1 1
officer has a 4 1
officer is driving 1 4
officers and supervisors 1 1
officers are reluctant 1 1
officers between and 1 1
officers from the 1 2
officers have become 2 1
officers in a 3 1
officers in the 20 5
officers is unknown 1 1
officers of the 2 1
officers on patrol 2 1
officers tended to 1 1
officers the discretion 1 1
officers to conduct 5 1
officers to make 2 1
officers use computers 1 1
officers who are 6 1
officers who did 2 1
officers who do 1 1
officers who had 4 1
officers who have 6 1
officers who were 6 1
officers within the 3 1
officials in the 2 1
officials such as 1 1
often rely on 1 1
often the case 3 1
on a case 3 2
on a city 3 1
on a number 2 2
on a police 2 1
on a representative 1 1
on a street 4 2
on algorithms to 2 1
on an earlier 1 1
on certain it 1 1
on changing the 1 1
on community policing 3 1
on crime and 14 1
on crime control 1 1
on crime in 6 2
on crime prevention 1 1
on federal law 2 1
on historical data 1 1
on how to 9 1
on information they 2 1
on law enforcement 23 1
on matters of 2 1
on new york 4 1
on percent of 1 1
on police behavior 3 1
on police community 2 1
on police forces 2 1
on police policy 1 2
on police use 2 1
on property crimes 1 6
on terrorism and 1 2
on the actual 3 2
on the basis 63 2
on the belief 1 4
on the causes 1 1
on the day 1 2
on the effects 2 2
on the face 2 1
on the formal 1 1
on the ground 24 1
on the impact 2 1
on the implementation 1 1
on the innovation 3 1
on the internet 17 1
on the job 7 1
on the lookout 2 1
on the minds 1 1
on the most 1 1
on the new 4 1
on the number 1 1
on the police 11 3
on the road 1 1
on the role 6 2
on the same 10 1
on the scene 3 2
on the streets 30 1
on the type 3 1
on the use 10 2
on their own 19 1
on their role 1 1
on those groups 1 1
on top of 6 1
on u s 2 1
on use of 4 1
on what has 1 1
on which the 9 1
once the decision 1 1
one group of 1 1
one in four 5 1
one in which 7 1
one might argue 1 2
one might expect 2 2
one more tool 1 1
one of its 5 2
one of the 125 13
one of two 6 1
one or a 1 2
one set of 1 1
one size fits 5 1
one study of 5 1
one that is 6 2
only a couple 1 1
only a few 5 2
only after the 2 2
only in the 3 1
only percent of 1 1
only the beginning 2 2
only those who 1 1
only to the 8 1
operations of the 1 1
opportunity for a 2 1
optimistic about the 1 1
or a few 1 2
or a host 1 1
or able to 1 1
or at least 28 3
or even the 4 2
or failing to 1 1
or from the 1 1
or have been 4 1
or it may 1 1
or less effective 2 1
or long term 1 1
or may be 2 1
or more population 2 1
or quality of 4 1
or that they 3 1
or threat of 1 1
or whether the 4 1
order in eight 1 1
order maintenance and 3 1
organization and the 1 1
organization continuity and 3 2
organization in the 5 2
organization is essential 1 1
organization of policing 1 1
organization of the 3 1
organizational change in 6 4
organizations as well 1 1
organizations in the 1 2
organizations is based 1 1
organizations of officers 1 1
organizations such as 2 2
organizations tend to 1 1
organized as follows 1 1
oriented community policing 2 1
oriented policing and 2 2
oriented policing as 1 2
oriented policing broken 1 1
oriented policing have 1 1
oriented policing in 1 1
oriented policing services 5 2
other aspects of 4 1
other forms of 8 1
other police departments 4 2
other types of 9 2
others have argued 1 1
others in the 1 1
others such as 4 2
our discussion of 1 2
our efforts to 1 1
our way out 1 1
out in the 10 1
out it s 1 2
out of a 7 1
out of the 20 1
out of their 3 1
out that when 1 2
out to be 8 1
out what is 1 1
outcomes that are 1 1
outgrowth of the 1 2
outside of police 2 2
over the course 13 5
over the last 18 1
over the life 1 2
over the next 12 1
over time on 1 1
over time to 1 1
overall amount of 2 1
paid to the 3 1
paper presented at 1 2
part because of 13 1
part by the 4 1
part in the 1 1
part of a 51 3
part of an 7 2
part of the 62 6
part to the 1 1
participate in the 6 1
participation in community 4 1
particularly important in 2 1
partnering with the 6 1
partnership with the 6 1
partnerships in the 2 1
parts of the 8 2
past crime data 1 4
patrol massive data 1 1
patrol officer s 1 1
patrol officers are 1 2
patrol officers to 4 1
pattern or practice 53 1
patterns and trends 3 1
patterns of crime 5 1
patterns of policing 1 1
people served by 1 1
people want to 1 1
people who are 13 1
per year in 2 1
percent between and 2 1
percent drop in 1 1
percent of all 4 1
percent of departments 1 1
percent of its 3 2
percent of the 13 5
perceptions of crime 2 1
performance and the 2 1
performance management in 2 1
performance of the 3 1
perhaps even more 1 1
perhaps the most 9 2
periods of time 4 1
personal relationships and 1 1
persons and activities 2 1
perspective on the 3 2
pg a length 4 1
pg length words 11 2
phase of the 2 1
place study of 1 1
place to hide 3 1
plausible that the 1 1
playing out in 1 1
plays an important 3 1
poised to be 1 4
police a minority 1 1
police a sociological 1 1
police abuse of 2 1
police activities are 1 1
police agencies and 1 2
police agencies are 5 1
police agencies have 1 4
police agencies of 1 1
police agencies to 1 2
police and an 1 1
police and community 5 3
police and courts 12 1
police and it 3 1
police and its 1 1
police and members 1 1
police and other 1 1
police and police 2 2
police and social 1 1
police and the 35 5
police and their 1 1
police are already 3 1
police are one 1 1
police as a 11 1
police as well 2 1
police before there 4 1
police behavior the 1 1
police but those 1 1
police chief the 1 1
police chiefs and 3 1
police citizen encounter 1 1
police community relationships 1 1
police compliance with 1 2
police crackdowns and 1 1
police culture as 1 1
police culture to 2 1
police department for 6 2
police department in 5 4
police department making 2 1
police department s 29 8
police department said 1 4
police department the 3 1
police department to 4 1
police department which 2 2
police departments a 4 1
police departments and 14 2
police departments are 10 3
police departments around 3 1
police departments became 1 1
police departments can 2 1
police departments especially 2 2
police departments from 3 1
police departments had 1 1
police departments have 15 1
police departments in 17 2
police departments law 3 1
police departments may 1 1
police departments statewide 1 2
police departments that 8 1
police departments were 5 1
police departments with 1 1
police discretion and 4 1
police discretion the 2 1
police do to 2 1
police efforts to 2 2
police executive research 3 9
police forces by 3 1
police forces in 2 1
police forces that 1 1
police foundation the 1 1
police from the 2 2
police have been 4 1
police in a 2 2
police in community 1 1
police in modern 1 3
police in the 10 8
police innovation contrasting 1 5
police is the 1 1
police it was 1 1
police leaders and 1 3
police leadership in 1 1
police legitimacy and 5 1
police may have 3 1
police now appear 1 1
police occupational culture 3 2
police officer is 5 4
police officers and 41 1
police officers at 1 1
police officers conducting 1 1
police officers in 19 3
police officers know 1 1
police officers the 3 2
police officers who 20 2
police operations by 1 1
police or the 1 1
police organization continuity 3 2
police organization in 3 3
police organizations are 1 2
police organizations as 1 2
police organizations have 1 2
police out of 1 1
police patrol these 3 1
police performance management 2 1
police policies and 2 1
police practice and 1 5
police practices and 7 2
police practices in 2 2
police practices the 1 1
police reform from 5 1
police reform has 1 1
police reform the 5 1
police reform who 1 1
police regardless of 2 1
police relate to 1 1
police resource allocation 3 1
police streetcorner politicians 1 1
police tactics and 1 1
police to adopt 1 1
police to anticipate 1 1
police to hold 3 1
police to identify 5 1
police to make 1 1
police to the 4 1
police use of 24 3
police use their 1 1
police with the 2 1
police work has 1 1
police work is 1 3
police work the 1 1
police work to 1 1
policies and practices 15 3
policies and procedures 7 1
policing a micro 1 1
policing and community 9 2
policing and found 1 1
policing and how 3 1
policing and other 2 1
policing and police 2 1
policing and predictive 2 1
policing and punishing 5 1
policing and the 22 3
policing as a 7 1
policing as an 5 2
policing broken windows 3 1
policing by the 2 1
policing can it 1 3
policing has been 7 2
policing have been 1 1
policing hot spots 1 1
policing in a 6 2
policing in america 1 2
policing in an 1 6
policing in community 3 2
policing in police 1 2
policing in santa 1 2
policing in the 36 12
policing is more 3 1
policing is still 1 1
policing is then 1 1
policing looks a 2 1
policing must be 1 1
policing n but 1 1
policing new york 5 2
policing problem oriented 1 2
policing problem places 1 1
policing program police 2 1
policing rearranging the 1 1
policing remains a 1 1
policing services cops 1 1
policing services in 1 1
policing should be 1 1
policing strategies especially 1 1
policing strategies that 1 1
policing technologies are 4 1
policing technologies in 1 1
policing the future 8 1
policing the risk 1 1
policing what can 3 1
policing where officers 1 1
policing which has 2 1
policy and management 1 1
policy and practice 3 4
policy as well 1 1
policy implications of 4 1
policy makers and 1 2
policy makers to 3 1
policy makers would 1 1
policy making and 1 1
political and social 5 6
political considerations were 1 1
political power in 2 1
politics of community 1 1
position of police 1 1
possess on suspects 1 1
possibility that these 1 1
potential changes to 1 1
potential impact of 1 1
potential to transform 1 1
power footnotes n 5 1
power of police 2 1
power to punish 2 1
practice materials see 20 1
practice of constitutional 1 1
practice taking compstat 1 1
practices across the 2 1
practices in the 5 1
pre and post 2 1
precisely because the 2 1
predict crime and 1 8
predict crime byline 1 2
predict future behavior 1 1
predict when and 10 2
predict where and 1 6
predicted hot spots 1 1
predicting the future 3 1
prediction could be 1 2
prediction profiling policing 4 1
predictive policing and 27 1
predictive policing because 1 1
predictive policing has 13 1
predictive policing in 6 6
predictive policing is 16 6
predictive policing methods 1 1
predictive policing program 4 8
predictive policing relies 1 1
predictive policing the 14 1
predictive policing to 6 1
predictive policing what 3 1
predictive policing will 4 2
preponderance of evidence 1 1
presence in the 5 2
presence of the 1 2
presented at the 14 2
preserve compstat and 1 1
primarily one of 1 1
principles and practice 1 1
private employment of 2 1
private security officers 2 1
probably serve as 1 1
problem at hand 3 2
problem it s 1 1
problem oriented approach 2 1
problem oriented policing 14 18
problem solving and 2 1
problem solving in 1 1
problems in a 1 1
process of adopting 2 1
processing and communication 1 1
processing of information 3 1
product of the 3 1
professional organizations that 1 1
profiling policing and 4 1
profound changes in 2 1
program aims to 7 1
program as a 2 1
program to include 1 2
program to predict 1 2
program which it 1 2
proliferation of these 1 1
promise of community 1 1
promising in the 1 2
promoting best practices 1 1
property crimes like 1 2
proportions of the 1 1
protecting your community 1 1
protection and service 1 1
protectioncivil infringement actionsowner 1 1
prove effective in 1 1
provided by the 5 2
public and private 20 4
public places and 2 1
public s confidence 1 2
public s desire 1 1
public should be 1 1
publication type newspaper 46 15
pulls up a 1 1
punishing in an 4 1
pursuit of willie 1 1
quality of life 21 2
quality of the 10 1
quantity and quality 1 1
quarter of the 1 1
question is the 1 1
question is with 1 1
question of whether 8 1
race and place 2 1
race and policing 4 1
race is a 2 1
race or ethnicity 2 1
race sex or 1 1
racial composition of 17 1
racial minorities and 1 1
racial or ethnic 4 1
range of police 2 1
rank and file 159 7
ranks of the 1 1
rate for the 4 1
rates can be 1 1
rates of police 1 1
rather it was 1 1
rather than in 1 1
rather than the 13 2
reaction to the 4 2
readily available and 1 1
real time to 1 1
really going on 1 1
rearranging the power 1 1
reason that a 1 1
reason to expect 2 1
reaves local police 1 1
recent decades have 4 1
recent years have 1 1
recession police chief 3 1
recognize patterns and 1 2
recognize that they 1 1
recognized and rewarded 1 1
recommendations for integrating 3 1
records and that 2 1
reduce crime and 6 1
reduce crime disorder 2 1
reduced violent crime 1 1
reform controlling police 1 1
reform in the 4 1
reform who done 1 1
reforming to preserve 1 1
reforms fail policing 1 1
reforms such as 2 1
reforms to be 2 1
regardless of the 11 2
regional news length 4 4
relate to their 2 1
related research and 20 1
related to the 18 1
relations between the 3 1
relationship between disorder 1 1
relationship between police 7 1
relationship between the 16 1
relationship to the 4 1
relative to other 1 1
reliability of the 5 2
relied heavily on 1 1
rely heavily on 3 2
rely more heavily 1 1
rely more on 3 2
remote locations and 1 1
removed from the 8 1
report in the 1 1
report of the 23 1
report to the 7 3
representation of previously 1 1
representative sample of 3 2
require police officers 2 1
require police to 1 1
requires at least 2 1
research and practice 20 4
research at the 3 1
research for the 1 1
research has been 3 1
research indicates that 2 3
research on police 2 4
research on the 5 1
research shows that 2 1
research suggests that 6 1
researchers around the 1 1
researchers have found 4 3
researchers were able 2 1
reserved 1 reserved  1
reserved of documents 47 8
residents and businesses 1 1
resistance to adopting 1 1
resistance to change 2 1
resources based on 4 2
resources such as 1 1
respond quickly to 1 1
respond to a 1 1
respond to calls 2 1
responded to the 1 1
response system that 1 1
response to a 7 1
responsive to the 5 1
rest of society 1 1
rest of us 3 2
restoring order and 2 1
restrictions on the 1 1
resulted in a 11 1
resulted in the 1 1
results with the 1 1
reveal patterns that 1 1
review of the 14 3
revolution of the 2 1
rich set of 2 1
richard v ericson 1 1
right way to 2 1
rights reserved 1 rights 1
rights reserved of 47 8
rights violations that 1 1
rising and falling 1 1
rising crime rates 2 1
risk for future 3 2
robert peel s 1 1
role in homeland 1 1
role in the 14 2
role of local 1 2
role of the 13 1
rooted in the 1 2
routine traffic stops 2 1
rubric of predictive 1 1
rule of law 10 1
rules and policies 3 1
rules and procedures 2 1
s a crime 4 1
s a new 1 2
s a time 1 1
s ability to 36 1
s air force 1 1
s and early 8 1
s and s 27 4
s and then 1 1
s confidence in 1 2
s crime control 1 1
s degree in 5 1
s department of 21 7
s desire to 6 1
s experience with 1 1
s goals but 1 1
s going to 8 4
s growing presence 1 1
s just the 2 1
s law enforcement 7 1
s motives and 1 1
s not a 4 2
s perspective the 1 1
s police chief 2 1
s police department 8 1
s police force 1 1
s predictive policing 8 2
s program to 1 1
s seminal work 1 1
s support for 2 1
s theory of 2 1
s through the 1 1
s to deter 1 1
s top cop 3 1
s violent crime 1 1
s where i 3 2
s willingness to 2 1
s with the 1 1
said adding that 3 1
said deputy chief 1 1
said he added 1 1
said he s 1 1
said if the 1 1
said it s 3 7
said it was 1 1
said load date 1 2
said of the 1 1
said predictive policing 2 1
said that the 2 3
said the police 3 2
said they have 1 1
said we re 1 4
salary and benefits 2 1
same can be 2 1
same time the 6 4
sample of police 1 1
san bernardino county 1 1
san jose mercury 1 6
san jose police 2 2
santa clara university 2 22
santa cruz calif 1 1
santa cruz california 4 2
santa cruz experiment 2 2
santa cruz police 5 41
santa cruz s 4 2
santa cruz sentinel 1 20
satisfaction with police 1 4
satisfaction with the 1 1
say in how 1 1
say that there 2 1
say they ve 1 2
say this is 1 1
says he was 2 1
says it s 3 3
scandal and reform 1 1
scholars and policy 1 1
school of government 1 1
sean w malinowski 1 1
search a suspect 2 1
search and arrest 3 1
section a column 1 1
section breaking communities 1 2
section news length 5 1
section news pg 1 3
section section a 1 1
section state and 4 4
sectors of the 1 1
security and surveillance 1 2
see also weisburd 1 1
see the following 20 1
seem to be 11 1
seem to have 2 1
seems plausible that 1 1
segments of the 7 1
selection of the 4 1
sending the police 4 1
sense of community 1 1
sense of compstat 3 1
sense of the 10 1
september language english 6 1
september terrorist attacks 1 1
series of studies 1 1
seriousness of the 4 2
serve as a 17 1
serve as the 5 1
served as the 5 1
services in the 4 2
services offered by 2 2
set in motion 1 1
set of beliefs 2 1
several aspects of 1 1
several reasons to 1 1
several years ago 1 1
severity of the 2 1
shaped by the 1 1
share of the 2 1
sharing information and 1 1
sharing of information 3 1
sheet of paper 1 1
sheriff s department 16 2
sheriff s departments 1 1
shift from the 1 1
short and long 8 1
should be careful 1 1
should be the 2 1
should engage in 1 1
should not be 30 1
showed that the 7 1
showing that the 5 1
shows that the 3 1
side of the 9 1
significant role in 6 1
similar technology has 1 1
similar to the 11 2
simply because of 1 1
simply not be 1 1
since the mid 2 1
since the s 8 2
since they are 1 1
sir robert peel 1 1
six months of 4 2
size fits all 5 1
size of the 4 3
skepticism about the 1 1
skolnick and bayley 1 2
small body of 1 2
small departments can 1 1
small groups of 1 1
small town policing 1 1
so much as 2 1
so that a 1 5
so that it 3 1
so that we 4 1
so to speak 1 1
social costs for 1 1
social economic and 2 1
social networking sites 1 1
social organization of 1 1
social scientists to 1 1
sociological study of 1 1
solving in american 1 1
some cases this 1 1
some departments have 1 1
some evidence that 2 3
some extent the 1 1
some have argued 2 3
some have expressed 1 1
some of its 2 1
some of the 64 7
some of these 28 1
some of this 3 2
some of which 1 2
some police leaders 1 1
something other than 3 1
sorts of questions 1 1
spend their time 1 2
spots policing is 1 1
squad cars and 1 1
st louis and 1 1
staff writer section 1 1
start of each 1 1
starting in the 1 1
state and federal 13 2
state and local 67 14
state and regional 6 5
state by state 2 1
state has been 1 1
states in the 1 2
stations in the 1 1
step in the 3 1
stephen d mastrofski 6 13
steven a tuch 1 1
still in the 6 1
strategic and operational 1 1
strategic problem solving 1 1
strategies and tactics 1 2
strategies for local 1 1
strategies such as 2 1
strategy of police 1 2
street cops and 1 1
street level policing 1 1
streets and in 1 1
strength of a 1 1
struck by the 1 1
structure for police 1 1
structure for the 1 1
structure is the 1 1
structure of a 2 2
structure of police 2 4
structure of policing 2 2
structure of the 1 3
studies are not 1 1
studies have shown 6 1
studies of police 4 4
studies of the 9 3
studies the available 1 1
study found that 4 1
study of large 1 1
study of law 2 1
study of police 3 3
study of the 11 1
style of policing 3 1
subject to the 8 1
subjected to a 4 1
subsequent increase in 1 1
substantial number of 1 1
substantially from the 2 1
success in community 1 1
success in the 1 1
success of predictive 2 1
success of the 6 1
such a massive 1 1
such a system 7 4
such a transformation 1 1
such an approach 7 1
such as a 21 1
such as algorithmic 1 1
such as burglary 2 1
such as community 2 2
such as compstat 1 1
such as fingerprint 1 1
such as hot 2 2
such as in 3 1
such as los 5 1
such as police 4 1
such as schools 2 1
such as that 3 1
such as the 70 5
such as their 3 1
such as these 3 1
such as those 6 2
such as women 1 1
suggest that it 1 2
suggest that the 15 1
suggesting that the 5 2
suggests that they 1 1
suggests that those 1 1
supervision of the 1 1
support for its 1 1
support for more 2 1
support for the 6 2
support in the 2 1
supreme court decisions 1 1
surveillance and police 3 1
surveillance database policing 1 1
surveillance of public 4 1
survey found that 1 1
suspect that the 2 2
suspects and witnesses 2 1
suspicious persons and 2 1
sutton a theory 1 1
system and the 5 1
system designed to 2 1
system even when 1 1
system in the 10 1
system in which 1 2
system such as 3 1
system that is 6 1
system will likely 1 1
system would help 1 1
systematic review of 1 1
systems are more 1 1
systems to monitor 1 1
t know that 1 2
tactics and technologies 2 1
take advantage of 10 4
take into account 9 1
taken for granted 4 1
taken into custody 2 2
taking compstat to 1 1
tale of three 2 1
techniques have been 2 2
technologies and the 2 1
technologies at the 1 1
technologies have been 1 1
technologies have the 1 1
technologies in the 2 2
technologies may eventually 1 1
technologies such as 3 3
technology and police 1 1
technology available to 1 1
technology companies in 1 1
technology has been 1 2
technology in the 5 1
technology is a 2 1
technology is used 1 1
technology to that 1 1
tell us about 1 1
tend to be 12 2
tended to focus 1 1
tens of thousands 7 1
tension between police 1 1
tension between the 3 2
terms of their 3 1
terrorist attacks and 1 1
terrorist attacks of 5 1
than a decade 6 2
than a mere 2 2
than ever before 5 1
than in the 3 2
than it currently 3 1
than it is 1 1
than lethal force 1 1
than million people 3 1
than others in 2 1
than that of 1 1
than their own 2 1
than they would 1 1
that a community 1 1
that a neighborhood 3 1
that a substantial 1 1
that although community 1 1
that although the 1 1
that although there 1 2
that an officer 12 1
that are particularly 1 1
that are the 2 1
that as a 2 1
that at the 3 1
that attempts to 3 1
that by the 2 1
that can be 38 4
that come with 1 1
that community policing 7 2
that crime is 3 4
that decision making 1 1
that determine how 1 1
that diversity is 1 1
that do not 9 2
that does not 14 1
that don t 4 1
that emerged from 1 1
that fail to 7 1
that for the 2 1
that guide how 1 1
that half of 2 1
that have been 12 4
that have long 1 2
that have not 2 1
that i d 1 2
that improve the 1 1
that in a 3 2
that in the 29 4
that is a 3 1
that is made 2 1
that is not 16 1
that is now 1 1
that is producing 1 1
that is why 2 1
that it doesn 3 2
that it has 5 2
that it is 43 2
that it may 5 1
that it should 2 1
that it will 2 3
that it would 8 2
that kind of 4 5
that led the 1 1
that may be 13 1
that may have 4 1
that may influence 1 3
that may not 4 1
that measures of 1 1
that might be 12 1
that much of 4 2
that of a 4 1
that of the 12 1
that officers are 2 1
that officers will 2 4
that people have 2 2
that percent of 2 1
that police are 4 1
that police departments 6 2
that police leaders 1 1
that police may 1 1
that policing is 1 1
that preceded this 1 1
that predictive policing 11 1
that propels the 1 1
that s not 5 2
that s the 11 1
that s very 1 1
that s where 9 2
that since the 1 2
that such a 4 2
that such an 3 1
that the american 1 1
that the changes 1 1
that the consequences 1 1
that the degree 1 1
that the empirical 1 1
that the high 2 1
that the model 2 2
that the more 3 1
that the national 1 1
that the nature 2 1
that the number 5 1
that the officers 7 1
that the police 45 3
that the public 4 2
that there are 15 1
that there is 34 4
that there was 7 3
that there were 2 1
that there will 1 2
that these effects 1 1
that they are 43 7
that they had 2 2
that they have 10 1
that they may 2 1
that they should 4 1
that they will 9 1
that this is 11 2
that was a 1 1
that wasn t 1 2
that we have 10 1
that we might 2 1
that we will 2 2
that what the 1 1
that when one 1 2
that work with 1 1
that would require 3 1
the ability of 27 2
the absence of 47 6
the abuse of 1 1
the accessibility of 1 1
the activities of 5 1
the actual practice 1 1
the adoption of 11 6
the american academy 2 5
the american public 1 2
the amount of 43 3
the annual meeting 2 2
the answer is 7 1
the application of 14 2
the array of 3 1
the availability of 10 2
the available evidence 1 2
the average number 2 1
the backbone of 2 1
the bad guys 3 2
the basic elements 1 1
the basis of 70 2
the belief that 9 4
the beliefs and 1 1
the benefits of 32 1
the best available 3 1
the best course 1 1
the best inventions 2 2
the bias that 1 2
the blue code 1 2
the body of 2 1
the bureau of 10 1
the calls for 1 1
the capacity of 1 4
the capacity to 5 2
the case for 16 1
the case of 39 3
the census bureau 4 1
the center for 7 1
the center of 11 1
the challenge of 4 2
the challenges of 7 5
the change in 2 3
the changes in 1 2
the changes that 3 2
the character of 8 1
the chicago police 32 2
the chief for 1 1
the chief s 1 2
the circumstances under 1 1
the city but 1 1
the city on 1 1
the city or 1 1
the city police 1 2
the city s 65 8
the city said 1 4
the civil rights 31 1
the claim that 4 1
the code of 1 2
the collection of 14 1
the commissioner of 1 1
the communities it 1 1
the communities they 17 2
the community and 10 1
the community but 2 1
the community policing 7 6
the community to 1 1
the complexity of 7 4
the compstat system 4 2
the computer program 1 2
the concept is 1 1
the concept of 32 1
the concerns of 4 1
the confluence of 7 1
the consequence of 1 2
the consequences are 1 2
the consequences for 3 1
the consequences of 19 7
the constraints of 2 2
the context of 65 1
the contours of 3 2
the cooperation of 9 1
the core service 1 1
the cost of 14 1
the country as 2 1
the country have 6 1
the course of 19 6
the creation of 19 4
the crime control 6 1
the crime data 2 2
the crime drop 2 2
the crime is 1 4
the crime problem 3 1
the criminal process 4 1
the criterion measure 1 1
the culture and 1 1
the culture of 13 9
the data in 6 1
the data is 6 1
the data they 6 1
the day the 1 2
the days of 1 1
the decision is 2 1
the decision making 5 1
the decision to 12 1
the defendant s 11 1
the degree of 5 4
the degree to 28 6
the delivery of 1 2
the demography and 4 2
the department has 4 2
the department of 50 1
the department s 43 8
the deputy chief 1 1
the designation of 2 1
the desire to 4 1
the determination of 3 1
the development and 2 2
the development of 36 2
the difference between 7 1
the difficulty of 11 1
the diffusion of 4 1
the direction of 3 1
the discretion to 9 1
the discussion to 1 1
the dissemination of 1 1
the distribution of 7 1
the division of 1 1
the driving force 1 1
the due process 10 1
the dynamics of 5 2
the early s 26 2
the early stages 1 2
the ease with 4 1
the effect on 1 1
the effectiveness of 20 2
the effects of 43 25
the emergence of 11 6
the emphasis is 2 1
the end of 27 6
the erosion of 6 1
the essay is 1 1
the evidence is 4 1
the evidence on 1 2
the evolution of 7 1
the evolving strategy 3 1
the example of 6 1
the exclusionary rule 8 1
the execution of 3 1
the experience of 5 1
the experiences of 6 2
the explosion of 2 1
the extent of 13 1
the extent that 23 6
the extent to 18 14
the face of 22 4
the fact and 1 1
the fate of 4 1
the federal government 68 4
the first case 2 1
the first half 2 3
the first in 3 6
the first place 13 4
the first six 2 2
the first to 1 1
the first years 2 1
the following legal 20 1
the following section 1 1
the form of 47 2
the former had 1 1
the forms of 2 1
the fourth amendment 201 1
the frequency of 3 1
the functions of 2 1
the future are 1 1
the future in 2 2
the future of 37 3
the gap between 4 1
the garner decision 2 1
the general public 9 2
the genesis of 2 1
the goal is 14 4
the governance of 2 4
the government s 42 1
the greatest influence 1 1
the group that 1 1
the growing role 1 2
the growth of 13 2
the head of 7 1
the heyday of 1 1
the high degree 1 1
