of documents 1 of 1
said that the 2 3
said the police 1 2
same can be 2 1
same time the 5 4
same way the 1 2
san jose mercury 6 6
san jose police 8 2
santa clara university 11 22
santa cruz calif 3 1
santa cruz california 10 2
santa cruz experiment 1 2
santa cruz has 2 2
santa cruz is 5 2
santa cruz police 26 41
santa cruz predictive 2 2
santa cruz s 5 2
santa cruz santa 1 4
santa cruz sentinel 17 20
santa cruz the 5 4
santa monica ca 1 1
santacruzsentinel com distributed 3 2
satisfaction with the 1 1
say they ve 2 2
says it s 2 3
scandal and reform 1 1
science toward a 1 1
scientific boon or 1 1
scotts valley calif 6 4
section a column 1 1
section breaking news 2 2
section news length 17 1
section news pg 6 3
section section a 1 1
section state and 9 4
security firms and 1 1
see the following 8 1
seem to be 3 1
sending the police 5 1
sense of compstat 2 1
sense of the 3 1
sentinel calif section 3 4
sentinel california distributed 3 4
sentinel of documents 3 4
sentinel scotts valley 6 4
september language english 3 1
sergeants and lieutenants 13 1
series of studies 1 1
seriousness of the 2 2
serve as a 5 1
serve as the 2 1
served as the 13 1
service providers in 2 1
services for example 1 1
services in the 3 2
services load date 10 2
set in motion 5 1
several years ago 4 1
shaped by the 1 1
sheriff s department 136 2
sherman et al 5 2
sherman lawrence w 11 1
shooting discretion an 1 1
should be much 2 1
should engage in 1 1
should not be 6 1
should take care 1 1
showed that the 1 1
shows that the 1 1
side of the 2 1
significant body of 1 1
significantly more time 1 1
significantly related to 1 1
similar to the 14 2
simple as a 1 1
simply because of 2 1
simply does not 1 1
since the program 2 2
since the s 1 2
six months of 5 2
six months the 1 2
six years in 1 1
size fits all 1 1
size of the 3 3
skills of the 1 1
so called after 1 2
so much as 1 1
so on these 1 1
so that it 1 1
so we have 1 2
social conditions the 1 1
social economic and 1 1
social networking sites 3 1
society of criminology 4 3
society review wilson 1 1
software for predictive 1 1
solicitation predictive policing 1 1
some evidence that 1 3
some have argued 1 3
some of the 51 7
some of these 19 1
some of which 1 2
something other than 1 1
sort in the 1 1
sorts of information 1 1
spelman and brown 1 2
spend time in 4 1
spots of crime 3 1
spots of the 1 2
staff than in 1 2
staff writer section 1 1
staffing levels have 2 1
standard model of 2 1
stanford ca stanford 1 1
starting in the 1 1
state and federal 9 2
state and local 3 14
state and regional 9 5
state of affairs 2 1
state university of 1 1
stated another way 1 1
states of america 1 1
states with the 1 1
status in the 1 1
stephen baxter santa 1 3
stephen d mastrofski 2 13
still be in 1 1
still in the 1 1
strategies such as 1 1
strawberry pop tarts 1 3
street level officers 8 4
strike next it 1 1
strongly influenced by 1 1
structure of a 2 2
structure of policing 1 2
studies are limited 1 1
studies concluded that 1 1
studies have shown 1 1
studies indicate that 1 1
studies of the 2 3
study found that 7 1
study of law 1 1
study of police 1 3
study of the 7 1
style of policing 2 1
subject to the 2 1
subjected to a 1 1
substantial number of 1 1
success of predictive 1 1
success of the 4 1
such a cultural 1 1
such a system 1 4
such as a 10 1
such as burglary 3 1
such as community 3 2
such as in 4 1
such as los 3 1
such as police 3 1
such as the 28 5
such as those 1 2
such as wal 1 1
suggest that crime 1 1
suggest that it 1 2
suggest that the 5 1
suggesting that the 1 2
suggests that contemporary 1 1
suited to the 1 1
summary report washington 1 1
supervision of the 1 1
support for the 6 2
support in the 1 1
surveillance of public 3 1
survey found that 1 1
survey of a 2 1
survey of large 1 1
survey of us 1 1
system and the 2 1
system may be 2 1
system that is 1 1
systematic review of 4 1
t what s 1 1
take advantage of 3 4
take into account 2 1
taken for granted 2 1
technologies and the 1 1
technologies at the 1 1
technologies have been 1 1
technologies such as 5 3
technologies under the 1 1
technology has been 1 2
technology in the 2 1
technology is a 2 1
technology on the 1 1
technology to that 1 1
tend to be 5 2
tennenbaum abraham n 1 1
tens of thousands 3 1
tension between the 1 2
terms of police 2 1
terms of their 1 1
than a decade 2 2
than a mere 1 2
than ever before 3 1
than in a 1 2
than in the 3 2
than it is 2 1
than million people 1 1
than that of 3 1
than twice the 1 1
that a car 2 4
that although the 1 1
that an officer 8 1
that are of 2 1
that are the 1 1
that area to 1 1
that as a 2 1
that at the 1 1
that by the 3 1
that can be 16 4
that can identify 1 1
that community policing 1 2
that compares the 1 1
that crime analysis 1 2
that crime is 6 4
that day the 3 2
that do not 9 2
that does not 1 1
that don t 2 1
that go well 1 1
that half of 1 1
that have been 5 4
that have not 3 1
that i d 1 2
that in a 3 2
that in the 5 4
that is a 7 1
that is difficult 1 1
that is not 5 1
that is seen 2 1
that is why 3 1
that it has 8 2
that it is 14 2
that it may 5 1
that it will 7 3
that it would 3 2
that little research 1 1
that may be 7 1
that may have 2 1
that may not 2 1
that might be 3 1
that might help 2 2
that most americans 1 1
that new technologies 1 1
that of a 5 1
that of the 2 1
that officers are 1 1
that one could 1 1
that people have 2 2
that percent of 4 1
that police departments 3 2
that police leaders 1 1
that predictive policing 10 1
that reduces the 1 1
that s not 6 2
that s the 2 1
that s where 4 2
that such a 1 2
that such an 1 1
that technological advances 1 1
that the american 1 1
that the model 1 2
that the national 1 1
that the number 1 1
that the officers 9 1
that the police 4 3
that the public 2 2
that there are 5 1
that there is 24 4
that there was 6 3
that there were 3 1
that these personnel 2 1
that they are 12 7
that they had 2 2
that they have 5 1
that they may 2 1
that they represent 1 1
that they should 1 1
that they will 2 1
that this is 2 2
that we have 1 1
that we might 1 1
that when one 1 2
the ability of 8 2
the absence of 11 6
the activity of 1 1
the adoption of 9 6
the american public 2 2
the american society 5 3
the amount of 12 3
the annual meeting 1 2
the answer depends 1 2
the answer is 1 1
the application of 7 2
the availability of 10 2
the available evidence 1 2
the average number 1 1
the bad guys 1 2
the basis of 27 2
the belief that 5 4
the benefits of 2 1
the best available 2 1
the best course 1 1
the best inventions 1 2
the body of 3 1
the bounds of 1 1
the bureau of 1 1
the capacity of 4 4
the capacity to 7 2
the case for 9 1
the case of 11 3
the center for 4 1
the center of 2 1
the challenge of 1 2
the challenges of 1 5
the change in 1 3
the changes that 1 2
the character of 5 1
the chicago police 2 2
the city but 2 1
the city on 2 1
the city or 1 1
the city s 31 8
the civil rights 1 1
the collection of 12 1
the commission on 1 1
the commitment to 1 1
the communication of 1 1
the community and 5 1
the community policing 1 6
the community to 2 1
the complexity of 3 4
the concept of 15 1
the concerns of 1 1
the confluence of 3 1
the consequences of 6 7
the context of 15 1
the contours of 1 2
the cooperation of 2 1
the cost of 25 1
the country as 2 1
the course of 5 6
the court system 2 1
the courts influence 1 1
the creation of 9 4
the crime control 1 1
the crime data 2 2
the crime drop 1 2
the crime epidemic 2 1
the crime fighter 1 1
the crime is 2 4
the crime problem 1 1
the culture of 3 9
the data is 4 1
the data they 6 1
the day the 1 2
the decision making 1 1
the decision to 6 1
the defendant s 12 1
the degree of 7 4
the delivery of 1 2
the demand for 3 1
the department has 3 2
the department of 9 1
the department s 35 8
the department we 11 2
the desirability of 1 1
the desire to 1 1
the determination of 3 1
the development of 7 2
the difference between 4 1
the difficulty of 3 1
the diffusion of 1 1
the discretion to 1 1
the distribution of 6 1
the due process 6 1
the dynamics of 2 2
the early s 6 2
the effect on 1 1
the effectiveness of 10 2
the effects of 17 25
the emergence of 6 6
the emphasis is 1 1
the end of 15 6
the erosion of 2 1
the evidence has 1 1
the evidence in 2 1
the evidence is 4 1
the evidence on 5 2
the evolution of 3 1
the example of 1 1
the exclusionary rule 2 1
the experience of 1 1
the experiences of 1 2
the extent that 7 6
the extent to 6 14
the face of 6 4
the federal government 11 4
the field to 3 1
the first few 1 2
the first five 2 1
the first half 1 3
the first place 6 4
the first six 6 2
the first to 2 1
the following legal 8 1
the following section 1 1
the forces that 2 1
the forecast might 1 1
the form of 13 2
the fourth amendment 154 1
the frequency of 2 1
the front lines 1 1
the functions of 1 1
the future a 1 1
the future in 1 2
the future of 18 3
the garner decision 3 1
the general public 7 2
the genesis of 1 1
the goal is 2 4
the government s 38 1
the group and 1 1
the growing role 1 2
the growth of 6 2
the head of 2 1
the highest probability 1 3
the highest risk 1 2
the history of 8 1
the hope is 1 1
the hopes of 1 1
the idea is 1 1
the idea of 11 2
the impact of 8 13
the impetus for 1 1
the implementation of 5 3
the implications of 4 5
the importance of 11 3
the increase in 7 2
the influence of 2 5
the information age 2 2
the interest of 3 1
the interests of 9 1
the international association 1 1
the intersection of 5 1
the introduction of 4 1
the involvement of 2 1
the jurisdiction s 2 1
the kansas city 8 2
the key issues 1 1
the key question 2 1
the key to 7 4
the kind of 4 1
the lack of 3 1
the last few 1 2
the last several 1 1
the last three 1 2
the last two 3 2
the last week 1 2
the last years 4 1
the late nineteenth 2 2
the late s 8 4
the late twentieth 1 4
the latter part 1 2
the law and 15 1
the legitimacy and 2 1
the legitimacy of 6 1
the level of 18 2
the life course 4 3
the likelihood of 19 1
the likelihood that 3 2
the limitations of 6 1
the limited evidence 1 2
the literature on 2 1
the local level 2 1
the location and 3 1
the locations of 5 1
the lookout for 2 1
the los angeles 72 16
the maintenance of 2 1
the management of 6 1
the many thousands 1 1
the meaning of 6 1
the midst of 1 1
the minds of 2 1
the minneapolis police 2 1
the model of 1 1
the most commonly 1 1
the most difficult 3 1
the most effective 2 1
the most efficient 2 1
the most obvious 1 1
the most part 3 2
the most popular 3 2
the most promising 1 1
the most significant 1 1
the most visible 1 2
the movement of 1 1
the nation s 2 13
the nation to 1 6
the national institute 6 3
the national level 1 2
the national police 1 2
the nature and 3 5
the nature of 12 8
the need for 13 3
the need to 8 1
the needs of 3 3
the neighborhood in 2 4
the new program 2 1
the new system 1 5
the new york 50 8
the newark foot 2 1
the next crime 9 2
the next decade 3 1
the next few 2 1
the next level 1 3
the nineteenth century 1 1
the notion of 3 3
the notion that 3 3
the number of 55 16
the numbers of 3 1
the object of 1 1
the observation of 3 1
the observation that 1 1
the occurrence of 2 1
the office of 3 1
the officer has 3 1
the officer may 2 1
the officer s 24 5
the organization of 1 1
the organization s 1 8
the parking garage 1 2
the participants in 1 1
the pattern of 2 2
the percent of 2 1
the person is 1 4
the police a 1 2
the police and 19 8
the police are 6 7
the police as 1 1
the police before 5 1
the police budget 1 1
the police chief 1 3
the police citizen 1 1
the police could 1 1
the police department 30 8
the police do 1 1
the police executive 3 2
the police for 1 1
the police foundation 5 1
the police in 6 9
the police officer 8 1
the police officers 6 2
the police on 1 2
the police organization 1 14
the police policing 2 1
the police themselves 2 4
the police to 16 3
the police will 1 1
the police would 2 1
the policing of 1 1
the politics of 3 1
the pool of 1 1
the population of 3 1
the populations served 1 1
the position of 15 1
the possibility of 5 1
the possibility that 3 1
the potential of 2 1
the potential to 13 1
the power of 6 1
the power to 2 2
the practice of 4 4
the predictability of 2 2
the predicted crime 1 1
the predictive policing 30 2
the predictive program 1 2
the preferences of 2 1
the presence of 9 5
the preservation of 1 1
the principle that 2 1
the private sector 10 2
the product of 6 1
the program and 2 2
the program has 5 2
the program is 2 4
the program s 6 2
the program started 2 2
the program used 1 1
the program was 1 5
the program which 1 4
the progressive era 1 1
the projections are 1 2
the proliferation of 1 1
the promise of 5 3
the promotion of 1 1
the proposition that 3 1
the provision of 2 1
the public and 3 1
the public in 1 1
the public is 2 2
the public new 1 1
the public s 8 6
the public sector 1 1
the public to 4 1
the purpose of 11 1
the purposes of 7 1
the quality of 10 4
the quantity and 1 1
the question of 15 2
the racial composition 3 1
the range of 10 2
the rank and 1 7
the rate of 4 1
the reason is 1 1
the relationship between 5 1
the reliability of 7 2
the representation of 2 1
the requirements of 1 2
the research also 1 1
the research is 1 1
the research on 1 2
the researchers to 3 3
the rest of 9 3
the results are 3 3
the results were 1 1
the risk of 30 1
the robber s 1 1
the role of 31 5
the roles of 3 1
the rubric of 1 2
the rule of 1 1
the s a 2 1
the s and 7 9
the s but 2 1
the s the 5 1
the s when 3 1
the same can 2 1
the same period 1 1
the same study 1 1
the same time 17 4
the same way 7 2
the santa cruz 31 19
the science of 1 1
the scope of 11 1
the search warrant 2 1
the selection of 1 4
the seriousness of 4 2
the severity of 2 1
the sheriff s 83 3
the short run 1 2
the size and 1 2
the size of 8 4
the skills of 1 2
the sort of 3 3
the sorts of 1 4
the source of 3 1
the standard model 3 4
the standard policing 1 1
the start of 1 1
the state of 3 3
the street level 1 1
the streets and 1 1
the structure of 1 10
the studies that 1 1
the study of 3 2
the subject of 4 1
the success of 7 1
the supervision of 1 1
the support of 5 2
the task of 2 1
the technology in 2 1
the technology is 12 1
the technology to 1 1
the technology will 4 1
the tension between 1 2
the threat of 8 6
the time and 8 1
the time date 3 4
the time the 5 1
the trajectory of 1 2
the transformation of 11 1
the transmission of 4 1
the transparency of 1 1
the trend toward 1 1
the twentieth century 7 14
the twenty first 6 11
the two most 1 1
the two way 2 1
the type of 15 1
the u s 31 6
the united kingdom 23 6
the united states 84 21
the university of 29 2
the us and 5 1
the use of 84 11
the utility of 3 2
the validity of 3 1
the value of 14 1
the vast majority 4 4
the very different 1 1
the view that 3 1
the wake of 6 3
the war on 4 1
the way in 2 1
the way it 1 2
the way of 1 1
the way the 4 1
the weight of 4 1
the widespread use 1 1
the work at 1 4
the work of 24 3
the world of 1 1
the world without 1 1
thefts based on 1 1
their commitment to 1 1
their own and 1 1
their patrol officers 1 1
their role in 1 1
their use of 1 1
them and their 1 1
them in a 3 1
them in an 1 1
them on the 3 1
them to be 6 1
themselves have been 1 1
theory based analysis 2 1
theory new york 1 1
theory of police 1 1
there appears to 2 1
there are a 3 2
there are also 4 2
there are at 3 1
there are many 7 2
there are other 3 1
there are some 1 2
there are three 2 1
there has been 10 2
there is a 35 7
there is an 9 2
there is considerable 4 1
there is enough 2 1
there is evidence 3 1
there is little 7 1
there is more 3 4
there is much 3 1
there is no 46 2
there is not 6 3
there is some 5 1
there may be 7 3
there might be 7 1
there s a 14 2
there s no 3 1
there was a 11 2
there was no 10 2
there was not 1 1
there will be 5 4
these changes are 1 1
these methods have 1 1
these new technologies 3 1
these technologies and 1 1
they are able 1 1
they are committed 1 1
they are not 11 5
they are often 1 1
they do not 7 1
they found that 1 1
they had been 1 1
they have been 1 2
they may be 2 2
they seem to 1 1
they should adopt 1 1
they should be 3 2
they tend to 1 3
they will have 1 1
think it s 3 2
third there is 1 1
thirty years of 1 1
this approach and 1 1
this approach may 3 1
this arrangement works 1 1
this can be 3 1
this can help 4 2
this essay focuses 1 1
this essay has 1 1
this information to 1 1
this is not 23 4
this is the 3 1
this is to 1 1
this line of 5 1
this may be 4 2
this regard as 1 1
this trend in 1 1
this was the 3 1
this would be 2 2
this year through 1 1
thompson james d 1 1
those in a 1 1
those of other 1 1
those who are 2 2
those who have 3 1
those with no 1 1
thought to be 3 3
thought to have 1 1
threat of terrorism 1 4
threats to the 3 2
three branches of 2 1
three police departments 2 1
three types of 1 1
through the s 1 1
throughout the state 1 2
throughout the united 3 1
thus in the 1 1
time and location 12 1
time are at 1 2
time but the 3 1
time date and 3 4
time for example 1 1
time in their 4 1
time location and 1 4
time of year 2 1
time to be 4 1
time with the 1 1
times california july 1 1
times company of 2 1
times publication type 1 1
times the number 1 1
to a large 2 1
to a number 1 1
to a police 4 3
to a problem 1 1
to accept these 1 1
to accommodate the 1 1
to achieve these 2 1
to adopt and 1 2
to answer the 3 1
to assess the 3 2
to attempt to 2 1
to attend to 1 2
to avoid the 3 1
to be a 19 4
to be associated 1 1
to be hit 1 2
to be insufficient 1 1
to be less 1 1
to be more 9 1
to be much 1 1
to be on 1 1
to be selected 1 1
to be subjected 1 1
to be that 1 2
to be the 5 6
to become more 1 1
to better understand 2 1
to budget cuts 3 2
to calls for 13 3
to capture the 1 1
to challenge the 3 1
to change in 1 2
to change the 5 3
to change their 1 1
to changes in 3 1
to close the 1 1
to collaborate with 1 1
to combat crime 1 4
to commit a 3 1
to community policing 20 1
to compare the 1 1
to conclude that 2 1
to consider the 5 1
to continue in 2 2
to continue to 5 2
to control the 4 1
to create a 8 1
to crime control 1 1
to deal with 16 4
to deploy our 1 2
to deter crime 2 2
to determine where 5 2
to develop a 5 1
to develop and 2 2
to develop the 3 1
to distinguish the 1 1
to do a 2 2
to do is 1 1
to do so 18 5
to do their 2 1
to do this 2 1
to dominate the 1 1
to each of 1 1
to employ the 2 1
to engage in 6 8
to evaluate the 4 1
to examine whether 1 1
to expand the 3 2
to experience a 2 1
to experiment with 3 1
to explore the 3 1
to fight crime 2 3
to figure out 7 1
to find a 3 1
to find ways 1 1
to focus on 11 2
to follow the 2 1
to gauge the 2 1
to get them 1 1
to guide the 1 1
to have an 1 4
to have been 3 1
to have high 1 1
to have reduced 1 1
to have the 3 2
to help him 2 1
to help police 4 6
to help them 6 1
to identify and 9 1
to identify hot 2 1
to identify people 1 1
to implement the 12 1
to increase the 6 1
to invest in 1 1
to know what 1 1
to law enforcement 3 1
to local governments 5 1
to los angeles 1 1
to make any 1 1
to make arrests 5 1
to make it 5 1
to make such 1 1
to maximize their 1 1
to measure the 1 3
to members of 1 2
to mobilize the 1 2
to modern policing 1 2
to monitor the 2 1
to move beyond 1 1
to note that 3 1
to occur in 6 3
to officers in 3 1
to participate in 14 2
to patrol in 1 1
to patrol officers 1 1
to pay for 5 1
to policy makers 1 1
to predict crime 8 8
to predict future 12 2
to predict the 8 3
to predict when 1 2
to predict where 11 3
to prevent a 2 2
to prevent crime 6 1
to prevent it 1 4
to problem solving 1 1
to produce the 1 1
to promote the 2 1
to protect and 11 6
to protect the 14 1
to provide a 8 1
to provide the 5 1
to reduce crime 12 2
to reduce the 11 4
to reflect the 2 1
to report the 1 1
to respond to 9 4
to santa cruz 4 6
to say that 3 4
to see a 2 1
to see how 1 1
to see more 1 2
to see what 1 1
to serve as 2 1
to show a 1 1
to solve a 2 2
to solve problems 1 2
to solve the 1 1
to some extent 6 2
to speak to 1 2
to specific areas 2 1
to suggest that 3 1
to support the 2 1
to take a 8 1
to talk about 2 4
to test the 8 2
to the adoption 1 1
to the department 3 1
to the deputy 1 1
to the emerging 1 1
to the extent 17 6
to the information 1 1
to the law 1 1
to the national 2 2
to the new 1 1
to the next 14 3
to the organization 11 3
to the parking 1 1
to the particular 2 1
to the police 13 3
to the present 2 1
to the preservation 1 1
to the purpose 1 1
to the question 3 1
to the same 10 1
to the standard 1 1
to the street 1 1
to the u 7 1
to the united 5 1
to this point 1 1
to those that 2 1
to track the 3 1
to try to 6 1
to turn the 1 1
to understand how 3 1
to understand the 5 1
to use a 2 6
to use it 5 1
to use the 2 2
to weaken the 1 1
to what degree 3 1
to whether the 1 1
to which it 1 1
to which the 4 3
to which they 1 3
to work in 1 1
to work with 13 1
tonry and norval 8 6
tonry chicago university 5 5
top cop reversed 2 1
topics computer internet 2 1
topics for related 8 1
toronto university of 1 1
toward a new 1 1
town hall meetings 1 1
training in the 2 1
transparency of the 1 1
trends in the 2 1
tribune business news 10 4
trinidad and tobago 1 2
try to do 2 1
try to prevent 1 4
tuesday late edition 1 1
turn to the 1 1
turnaround how america 2 1
turned out to 1 1
turning to the 2 1
twentieth century in 1 1
twenty first century 11 13
two decades ago 4 1
two of the 4 2
two way radio 2 2
type newspaper copyright 40 11
type newspaper journal 20 4
types of crime 6 1
u s a 3 1
u s and 3 1
u s department 9 7
u s government 1 3
ucla george mohler 1 1
uncertainty as to 1 1
uncertainty in the 1 1
unclear whether the 2 1
understood in this 1 1
unique to the 1 1
united kingdom and 2 1
united kingdom to 1 2
united states a 3 1
united states and 14 1
united states as 3 2
united states f 3 1
united states is 2 1
united states of 1 1
united states that 2 1
university of california 17 2
university of chicago 10 10
university of michigan 1 2
university of minnesota 1 1
university of new 3 2
university of toronto 1 1
university press weisburd 1 1
up a map 1 1
up to the 16 1
updated data is 1 2
url http www 1 1
us police departments 1 1
use critical events 1 1
use in the 1 1
use of deadly 1 2
use of force 7 2
use of new 4 1
use of police 1 2
use of surveillance 1 1
use of these 2 1
use predictive policing 3 1
use their authority 1 1
used by police 2 1
used to describe 1 1
used to predict 7 1
users of that 1 2
uses historical data 1 1
valley calif at 3 2
valley calif visit 3 2
valley daily bulletin 2 1
varieties of police 1 5
variety of methods 3 1
variety of ways 1 1
vast majority of 4 2
very difficult to 2 1
video surveillance of 1 1
view it as 1 1
view of the 3 2
violence and the 4 1
violent crime in 6 1
violent crime police 1 1
violent crime to 1 1
visible as possible 3 1
visible in the 1 1
visible to the 2 1
visit the santa 3 2
vol edited by 2 2
vol of crime 6 5
wake of the 2 2
was a percent 1 1
was a small 1 1
was developed by 3 2
was found to 3 2
was instrumental in 1 2
was not a 4 1
was on the 3 1
was thought to 1 1
washington dc bureau 1 3
washington dc national 5 14
washington dc police 8 12
way in which 5 2
way out of 1 1
ways in which 3 4
ways of organizing 1 1
we are not 4 1
we can anticipate 1 1
we can be 1 1
we can do 2 1
we concentrate on 1 1
we do not 7 2
we don t 15 6
we have a 1 2
we have to 2 4
we know about 1 2
we know and 1 1
we learn from 2 1
we look at 1 2
we need to 7 2
we re going 11 1
we re the 1 4
we should be 2 1
we think of 1 1
we think that 2 1
weight of the 1 1
weisburd and lum 2 1
weisburd and neyroud 2 5
weisburd david and 2 4
weisburd david stephen 1 1
weisburd et al 6 4
well as good 1 1
well as its 1 1
well as the 11 4
well have been 1 1
were able to 10 1
were concentrated in 1 1
were designed to 1 2
were given a 1 1
were likely to 1 3
were loath to 1 1
were the first 2 1
were thought to 1 1
were to be 1 1
were trying to 1 1
wesley g skogan 1 3
what can we 3 1
what could be 1 1
what doesn t 1 2
what happened in 1 1
what happens when 2 4
what in the 1 1
what is more 1 1
what is new 1 1
what is the 1 1
what police do 39 2
what police officers 1 1
what s going 2 1
what s more 2 2
what s promising 1 1
what s the 1 1
what the public 1 2
what type of 1 1
what we know 2 3
what were previously 1 1
what works for 1 1
what works what 1 2
when and where 10 6
when considering the 3 1
when he was 4 4
when one house 1 2
when the police 2 2
when there is 4 1
when they are 1 3
when we started 1 1
where an earthquake 1 1
where and how 1 3
where and when 8 6
where crimes are 11 1
where future crimes 5 4
where the program 2 2
where there is 3 4
whether and how 1 3
whether it is 6 1
whether the police 1 1
whether the state 1 1
whether there is 6 1
whether these changes 1 1
which areas and 1 2
which has a 1 1
which in turn 5 1
which increases the 1 1
which is not 3 3
which is one 1 2
which is the 2 1
which the police 1 3
which to generalize 1 1
while it is 1 1
who are more 1 1
who are not 3 2
who did not 2 1
who gave the 1 1
who has led 1 1
who live in 2 1
who might be 1 1
who now works 3 1
who worked with 1 2
who would be 1 1
whom they have 1 1
wide range of 10 4
wide variety of 1 2
widespread use of 1 1
will be a 10 1
will be able 3 2
will be difficult 2 1
will be evaluated 1 2
will be first 1 2
will be sustained 1 1
will be widely 1 1
will occur and 4 3
will occur at 2 1
will often be 1 1
will strike next 1 1
william j bratton 11 3
willing to challenge 1 1
willis mastrofski and 1 6
wilson james q 1 1
windows of time 1 2
windows policing and 1 1
with a focus 2 2
with a high 4 1
with a team 2 2
with an increased 1 1
with computer programs 1 4
with crime and 1 1
with crime data 4 6
with cutting edge 1 1
with data of 1 1
with each other 1 1
with few exceptions 1 1
with law enforcement 3 1
with many other 3 1
with more than 1 1
with or more 1 5
with others in 1 1
with people perhaps 1 1
with percent of 1 1
with peter knobler 1 1
with regard to 13 2
with the city 1 1
with the community 6 3
with the cooperation 1 1
with the highest 4 2
with the nature 1 1
with the police 14 4
with the public 3 2
with the same 4 1
with the sheriff 2 2
with the support 1 2
with their own 1 1
with them and 2 1
with up to 1 1
with violent crime 3 1
within a few 1 1
within the organization 11 1
within the police 1 1
women s rights 1 1
words santa cruz 1 3
work a few 1 1
work closely with 6 1
work in the 15 1
work of the 14 1
work to transform 1 1
work with the 6 3
worked on the 1 1
working with them 1 1
works for the 2 1
works what doesn 1 2
would appear to 1 1
would be that 1 1
would be the 2 2
would be to 4 1
would be useful 1 1
www ncjrs gov 8 3
www nytimes com 30 1
www santacruzsentinel com 4 4
yale university press 1 1
years it has 2 1
years of crime 2 8
years of data 1 1
years of past 3 2
years of the 3 1
years they have 11 1
yet it is 3 1
yet there is 2 1
yet to be 1 2
york basic books 1 2
york city and 2 2
york city is 1 1
york city police 11 1
york city s 2 1
york farrar straus 1 1
york free press 2 2
york mcgraw hill 3 2
york oxford university 5 3
york police department 6 1
york random house 1 1
york times august 1 1
york times company 2 1
york times publication 1 1
you can t 4 1
zach friend a 3 4
